case,delay_ms,loss_rate,expected_packets,received_packets,dropped_fragments,decode_success,exact_match,bit_accuracy,bit_correct,bit_total,complete,unknown_count
delay5_loss0,5,0.0,209,209,,True,True,1.0,104,104,True,0
delay20_loss0,20,0.0,209,209,,True,True,1.0,104,104,True,0
delay50_loss0,50,0.0,209,209,,True,True,1.0,104,104,True,0
delay5_loss1,5,0.01,209,206,89 123 183,True,False,0.9808,102,104,False,3
delay20_loss1,20,0.01,209,208,99,True,True,1.0,104,104,False,1
delay5_loss3,5,0.03,209,199,4 28 39 51 102 122 126 160 166 176,True,False,0.9135,95,104,False,18
