packet_index,strategy_id,path_id,sequence_num,fragment_id,total_fragments,send_delay_ms,arrival_time_ms,ip_id_decimal,ip_id_hex,target_packet_length,packet_length,payload_bytes,analysis_hint
183,5,1,1,183,444,0.0,0.0,55136,0xd760,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
184,5,2,1,184,444,0.0,0.0,56221,0xdb9d,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
185,5,0,1,185,444,0.0,0.0,53535,0xd11f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
186,5,0,1,186,444,0.0,0.0,53532,0xd11c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
187,5,1,1,187,444,0.0,0.0,55148,0xd76c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
188,5,2,1,188,444,0.0,0.0,56217,0xdb99,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
189,5,0,1,189,444,0.0,0.0,53531,0xd11b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
190,5,1,1,190,444,0.0,0.0,55145,0xd769,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
191,5,2,1,191,444,0.0,0.0,56218,0xdb9a,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
192,5,0,1,192,444,0.0,0.0,53606,0xd166,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
193,5,1,1,193,444,0.0,0.0,55062,0xd716,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
194,5,2,1,194,444,0.0,0.0,56295,0xdbe7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
195,5,1,1,195,444,0.0,0.0,55060,0xd714,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
196,5,2,1,196,444,0.0,0.0,56289,0xdbe1,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
197,5,0,1,197,444,0.0,0.0,53603,0xd163,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
198,5,0,1,198,444,0.0,0.0,53600,0xd160,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
199,5,1,1,199,444,0.0,0.0,55056,0xd710,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
200,5,2,1,200,444,0.0,0.0,56301,0xdbed,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
201,5,0,1,201,444,0.0,0.0,53615,0xd16f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
202,5,2,1,202,444,0.0,0.0,56303,0xdbef,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
